@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24, unlabeled}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
F, 0.635, 0.495, 0.015000000000000001, 1.1565, 0.5115, 0.308, 0.2885, 9
M, 0.72, 0.585, 0.22, 1.914, 0.9155, 0.44800000000000006, 0.479, 11
I, 0.27999999999999997, 0.21500000000000002, 0.07, 0.124, 0.063, 0.0215, 0.03, 6
I, 0.555, 0.435, 0.145, 0.6975, 0.262, 0.1575, 0.24, 11
M, 0.635, 0.5, 0.16999999999999998, 1.4345, 0.611, 0.309, 0.418, 12
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, 11
I, 0.46, 0.36000000000000004, 0.105, 0.46599999999999997, 0.22250000000000003, 0.099, 0.11, 7
M, 0.645, 0.485, 0.155, 1.489, 0.5915, 0.312, 0.38, 18
M, 0.615, 0.48, 0.185, 1.2205, 0.49849999999999994, 0.315, 0.33, 10
M, 0.565, 0.465, 0.17499999999999996, 0.995, 0.38950000000000007, 0.183, 0.37, 15
M, 0.47, 0.37500000000000006, 0.13, 0.523, 0.214, 0.132, 0.145, 8
F, 0.545, 0.44, 0.15, 0.9475, 0.366, 0.239, 0.275, 8
M, 0.585, 0.455, 0.125, 1.027, 0.391, 0.212, 0.25, 17
M, 0.6, 0.485, 0.17499999999999996, 1.2675, 0.4995, 0.2815, 0.38, 13
I, 0.47, 0.37500000000000006, 0.105, 0.46799999999999997, 0.1665, 0.10800000000000001, 0.17, 10
I, 0.45, 0.35, 0.13, 0.547, 0.245, 0.1405, 0.1405, 8
F, 0.56, 0.44499999999999995, 0.195, 0.981, 0.305, 0.22450000000000003, 0.335, 16
M, 0.62, 0.48, 0.15, 1.266, 0.6285, 0.2575, 0.309, 12
F, 0.615, 0.475, 0.155, 1.004, 0.4475, 0.19299999999999998, 0.2895, 10
F, 0.65, 0.5, 0.19, 1.464, 0.6415, 0.339, 0.4245, 9
M, 0.4749999999999999, 0.37, 0.125, 0.649, 0.347, 0.136, 0.142, 8
F, 0.695, 0.535, 0.2, 1.5855, 0.667, 0.334, 0.471, 11
M, 0.725, 0.57, 0.19, 2.55, 1.0705, 0.483, 0.725, 14
F, 0.72, 0.575, 0.195, 2.1505, 1.0745, 0.382, 0.585, 10
F, 0.53, 0.425, 0.13, 0.7585000000000001, 0.325, 0.197, 0.205, 8
F, 0.5049999999999999, 0.41, 0.15, 0.6345, 0.243, 0.1335, 0.215, 17
M, 0.585, 0.455, 0.15, 0.9059999999999999, 0.4095, 0.22999999999999998, 0.2335, 8
M, 0.57, 0.45999999999999996, 0.16999999999999998, 0.9035, 0.4075, 0.19350000000000003, 0.214, 7
F, 0.405, 0.325, 0.11, 0.3575, 0.145, 0.0725, 0.11, 12
F, 0.69, 0.555, 0.205, 1.8165, 0.7785000000000001, 0.4395, 0.515, 19
M, 0.57, 0.415, 0.13, 0.8799999999999999, 0.4275, 0.1955, 0.238, 13
I, 0.6, 0.475, 0.15, 1.12, 0.565, 0.2465, 0.26999999999999996, 10
F, 0.45, 0.36000000000000004, 0.105, 0.4715, 0.20349999999999996, 0.0935, 0.149, 9
F, 0.57, 0.47, 0.14, 0.871, 0.38499999999999995, 0.211, 0.2315, 10
M, 0.5349999999999999, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, 10
M, 0.63, 0.515, 0.16, 1.016, 0.42149999999999993, 0.24399999999999997, 0.355, 19
I, 0.61, 0.465, 0.125, 0.9225, 0.436, 0.19, 0.26, 9
I, 0.37, 0.275, 0.08499999999999999, 0.2045, 0.096, 0.055999999999999994, 0.08, 6
M, 0.525, 0.4050000000000001, 0.13, 0.7185, 0.3265, 0.1975, 0.175, 8
M, 0.6, 0.47, 0.13, 1.0105, 0.423, 0.219, 0.298, 9
M, 0.65, 0.525, 0.185, 1.488, 0.665, 0.337, 0.378, 11
F, 0.725, 0.6, 0.2, 1.737, 0.697, 0.3585, 0.595, 11
M, 0.665, 0.535, 0.225, 2.1835, 0.7535000000000001, 0.391, 0.885, 27
M, 0.59, 0.465, 0.14, 1.046, 0.4695, 0.263, 0.263, 7
F, 0.48, 0.38, 0.12000000000000001, 0.608, 0.2705, 0.1405, 0.185, 8
M, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, 9
M, 0.6, 0.465, 0.165, 1.0475, 0.465, 0.2345, 0.315, 11
M, 0.6, 0.47, 0.16, 1.194, 0.5625, 0.3045, 0.2635, 10
F, 0.525, 0.425, 0.14, 0.8735, 0.4205, 0.182, 0.2225, 10
M, 0.675, 0.52, 0.145, 1.3645, 0.557, 0.3405, 0.385, 11
M, 0.575, 0.435, 0.14, 0.8455, 0.401, 0.191, 0.222, 9
I, 0.31, 0.24, 0.09, 0.1455, 0.0605, 0.0315, 0.045, 7
I, 0.45, 0.34, 0.105, 0.4385, 0.20999999999999996, 0.0925, 0.12, 8
I, 0.545, 0.42999999999999994, 0.14, 0.772, 0.289, 0.19, 0.2615, 8
