@relation flare
@attribute LargestSpotSize {A, R, S, X, K, H}
@attribute SpotDistribution {X, O, I, C}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Prev24Hour {1, 2, 3}
@attribute HistComplex {1, 2}
@attribute BecomeHist {1, 2}
@attribute Area {1, 2}
@attribute C-class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute M-class {0, 1, 2, 3, 4, 5}
@attribute X-class {0, 1, 2}
@attribute Class {H, D, C, B, E, F, unlabeled}
@inputs LargestSpotSize, SpotDistribution, Activity, Evolution, Prev24Hour, HistComplex, BecomeHist, Area, C-class, M-class, X-class
@outputs Class
@data
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
A, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, D
A, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, D
S, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, H
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, E
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
A, I, 1, 2, 1, 2, 2, 1, 4, 0, 0, D
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, E
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
R, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
S, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, F
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, H
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
S, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, C
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, H
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, E
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
X, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, B
K, C, 2, 3, 3, 2, 2, 2, 1, 0, 0, F
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, F
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, H
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
S, O, 2, 3, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
A, I, 1, 2, 1, 2, 2, 1, 1, 0, 0, D
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
A, X, 1, 2, 1, 2, 2, 1, 0, 1, 0, H
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, H
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, C
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
K, I, 1, 3, 1, 2, 2, 1, 4, 0, 0, D
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
K, C, 2, 2, 2, 2, 2, 2, 4, 0, 0, E
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
A, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
R, O, 1, 3, 1, 2, 2, 2, 0, 0, 0, E
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
S, O, 2, 2, 2, 2, 2, 1, 1, 1, 0, D
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, C
K, I, 1, 2, 1, 2, 2, 1, 4, 0, 0, F
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 3, 1, 1, 2, 1, 2, 0, 0, D
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
R, O, 1, 2, 1, 1, 2, 1, 3, 0, 0, C
K, C, 2, 2, 1, 2, 2, 1, 0, 0, 0, E
S, X, 2, 2, 1, 2, 2, 1, 0, 0, 0, H
R, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, D
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, D
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
R, O, 1, 3, 1, 1, 2, 1, 0, 1, 0, D
A, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, H
H, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
H, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, D
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, B
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 3, 1, 2, 2, 2, 1, 1, 0, F
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
A, I, 2, 3, 3, 2, 2, 1, 2, 0, 0, D
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, H
S, I, 1, 1, 1, 2, 2, 1, 0, 0, 0, D
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
S, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, D
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, H
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, H
X, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, B
R, X, 2, 1, 1, 2, 2, 1, 0, 0, 0, H
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, H
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, H
S, O, 1, 3, 1, 1, 2, 1, 2, 2, 0, D
S, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, C
R, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, C
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, B
A, I, 2, 3, 2, 1, 2, 1, 0, 0, 0, D
R, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, D
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, E
R, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, H
A, I, 1, 2, 1, 2, 2, 1, 1, 0, 0, D
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, C
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 3, 1, 2, 2, 2, 2, 1, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 3, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 1, 3, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 1, 0, 0, unlabeled
A, I, 2, 3, 3, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 1, 0, unlabeled
R, C, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 2, 1, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 0, 1, 0, unlabeled
H, C, 2, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 1, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
