@relation ring
@attribute A1 real [-6879.0, 6285.0]
@attribute A2 real [-7141.0, 6921.0]
@attribute A3 real [-7734.0, 7611.0]
@attribute A4 real [-6627.0, 7149.0]
@attribute A5 real [-7184.0, 6383.0]
@attribute A6 real [-6946.0, 6743.0]
@attribute A7 real [-7781.0, 6285.0]
@attribute A8 real [-6882.0, 6357.0]
@attribute A9 real [-7184.0, 7487.0]
@attribute A10 real [-7232.0, 6757.0]
@attribute A11 real [-7803.0, 7208.0]
@attribute A12 real [-7395.0, 6791.0]
@attribute A13 real [-7096.0, 6403.0]
@attribute A14 real [-7472.0, 7261.0]
@attribute A15 real [-7342.0, 7372.0]
@attribute A16 real [-7121.0, 6905.0]
@attribute A17 real [-7163.0, 7175.0]
@attribute A18 real [-8778.0, 6896.0]
@attribute A19 real [-7554.0, 5726.0]
@attribute A20 real [-6722.0, 7627.0]
@attribute Class {0, 1, unlabeled}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20
@outputs Class
@data
562.0, 597.0, 1214.0, 704.0, 63.0, -923.0, -536.9999999999991, -385.0, -11.0, -1088.0, 996.0, 272.0000000000009, 1952.0, 946.0, -44.0, 1223.0, 1054.0, 1238.0, 67.0, 272.0, 1
1398.0, 973.0000000000009, 334.9999999999991, -556.0, -103.00000000000091, -648.0, -278.0000000000009, 3219.0, -254.0, 154.0, 763.0, 131.0000000000009, -27.0, 16.00000000000091, -99.0, 92.0, -489.0, -615.9999999999991, 1702.0, 927.0000000000009, 1
1027.999999999999, 73.99999999999909, 1238.0, 337.0, 604.0, 583.0000000000009, 331.9999999999991, 461.0000000000009, -508.0, 3041.0, -187.9999999999991, -6.0, -893.0, 935.0, -1101.0, -63.0, 1531.0, -135.0, 684.0, -1619.0, 1
-74.99999999999909, 801.0, 257.0000000000009, 779.0, -395.9999999999991, 177.0000000000009, -59.00000000000091, 74.00000000000091, 1612.0, 813.0000000000009, 1784.0, 554.0000000000009, -539.0, 631.9999999999991, 1183.0, 97.00000000000091, -1056.0, 8.0, 458.0, 961.0, 1
327.0, 366.9999999999991, -218.0, -294.0, -57.0, -791.0, -301.9999999999991, 340.9999999999991, 928.0, -135.9999999999991, -135.0000000000009, -959.0, -151.0000000000009, 833.0, 1128.0, 49.0, 1297.0, 922.0, 2632.0, 2248.0, 1
-3493.9999999999995, -1665.0, -1192.0, -4619.0, 643.0, 18.0, -1944.0, -1979.0, 1227.0, -2269.0, -2027.0, -1802.0, -2814.0, 2181.0, 949.0, -2005.0, -407.0, 522.0, 1527.0, -288.0, 0
1685.0, -804.0, -1855.0, 1678.0, 2358.0, -3177.9999999999995, 2904.0, 7.9999999999990905, -2967.0, -698.0, -2378.0, 3102.0, 2801.0, 108.00000000000091, 121.0, 3129.0, -1809.0, 1265.0, 774.0, -1516.0, 0
213.9999999999991, -66.0, 3761.0, -288.0, 730.9999999999991, 2701.0, 538.0, -2592.0, 216.0, 1109.0, 2757.0, 715.0, -4482.0, -1716.0, 1112.0, 833.0, 6.0, -4826.0, 1155.0, 51.0, 0
-67.99999999999909, 1281.0, 979.0, -648.0, -114.99999999999909, 747.0000000000009, 212.0, 478.0, 1715.0, 736.0, 1575.0, 332.0, -23.99999999999909, -2.0, -263.0, -788.0, 67.0, -52.0, 1437.0, -34.0, 1
-73.0, -2016.0, -1221.0, -2408.0, -1235.0, -2693.0, 2074.0, -3393.0, 4092.0, 2311.0, -3017.0, 171.0000000000009, 118.0, -62.0, 614.0, 3224.0, -537.0, -1295.0, 3384.0, -2589.0, 0
-3776.0, -1295.0, -669.0, -2804.9999999999995, -928.0, -933.0, 935.0, 1894.0, -37.0, -1577.0, 40.99999999999909, 2182.0, 1.0, -432.0, 404.0, 1283.0, -3478.9999999999995, -997.0, -1856.0, 1784.0, 0
-6366.0, 108.00000000000091, -2336.0, 456.0000000000009, 974.0, -795.0, -467.0000000000009, -288.0, 2006.0, -1182.0, 1206.0, -273.0000000000009, 894.0, -2293.0, 1663.0, 1285.0, -3523.9999999999995, -2792.0, -3132.0, 825.9999999999991, 0
440.9999999999991, 693.0000000000009, -978.0, -865.0, 926.0, 954.0, -794.0, -1942.0, -3384.0000000000005, 482.0, -1206.0, 539.0000000000009, 22.0, -292.0, -241.0, -342.0, -4047.0, 3445.0, -143.9999999999991, -1451.0, 0
1502.0, 1738.0, 1086.0, -15.0, 505.0, -359.0, 1391.0, 1724.0, -941.0, 974.0, -118.99999999999909, 1606.0, -281.0000000000009, 88.99999999999909, 448.0, -607.0, -127.0, 256.0, -2501.0, -535.0, 1
-142.0000000000009, 234.0000000000009, -2547.0, 18.0, 261.0, -1801.0, -513.0, -812.0, -572.0, -1909.0, -331.0, -815.0, 1907.0, 1405.0, 1034.0, 4339.0, 116.00000000000091, -1917.0, 932.0, 602.0000000000009, 0
1197.000000000001, -2295.0, -1453.0, 753.0, -407.0, 3797.0, 553.0, -3062.0, 111.0, -1362.0, 744.0, 125.99999999999909, -2111.0, 30.99999999999909, 220.9999999999991, -1907.0, 1245.0, -279.0, -1253.0, -3478.0, 0
1995.0, 1586.0, 925.0, -2019.0, 2276.0, -231.0, 3654.0, -145.9999999999991, 963.0, 64.0, -832.0, 1277.0, -233.9999999999991, -451.0, 97.00000000000091, -249.0, -133.0, -2577.0, -136.9999999999991, -1696.0, 0
-256.0, 1022.0, 333.0000000000009, 1714.0, 1802.0, 599.0, 767.0, -673.0, 715.0000000000009, 1924.0, 112.00000000000091, 711.0000000000009, 1418.0, -581.0, -377.0, 2197.0, 822.0, 1222.0, 246.0, -1182.0, 1
155.0, -84.0, 774.0, 11.0, 675.0, 2344.0, 128.9999999999991, -342.0, 2609.0, 1444.0, -734.0, -34.0, 559.0000000000009, 1089.0, 466.9999999999991, 2525.0, 2054.0, -606.0, -345.9999999999991, 1741.0, 1
-165.0, -54.0, 1829.0, 1084.000000000001, 1104.0, -905.0, -2058.0, -409.0, 5.0, 1666.0, 465.0, 1477.0, 114.0, 1359.0, -736.0, 440.9999999999991, 1193.0, -155.0, -1735.0, 1304.000000000001, 1
-1656.0, 212.0000000000009, -4858.0, 155.0, -44.99999999999909, 3599.0, -2716.0, 2818.0, -114.0, -1099.0, 1195.0, 242.0000000000009, -121.99999999999909, 234.0000000000009, -916.0, -142.0, -698.0, -2768.0, 1721.0, 4704.0, 0
-334.0, -402.0, 513.0, 397.0, 1564.0, 1397.0, 3281.0, 4.9999999999990905, -142.0, 3102.0, -671.0, 1326.0, 664.0, -20.99999999999909, -1587.0, 847.0, 1683.0, 1136.0, 37.0, 2716.0, 1
-121.0, 1202.0, 1918.0, 738.0, 141.0, -1046.0, 841.0, 1382.0, 1091.0, 232.0, -406.0, 125.99999999999909, 64.0, 1349.0, 238.0, -44.0, -601.0, 1194.0, -705.0, 936.0, 1
2425.0, 1773.0, 5247.0, -563.0, -182.0, -602.0, 1397.0, -3216.0000000000005, -3124.0, 4179.0, -662.0, -973.0, -222.0, 441.0, 9.0, 524.0, 659.0, -462.0, -1123.0, 1623.0, 0
141.0, -379.0, -101.0, 1058.000000000001, -601.0, 2664.0, 756.0, -117.0, -8.0, 101.00000000000091, -586.0, -1609.0, -1144.0, 2745.0, 1139.0, -1088.0, -313.0, 414.0, 1728.0, 1052.0, 1
107.0, 973.0000000000009, -3632.0, 93.0, -2995.0, 196.0, 149.0, -2232.0, -243.0, -1493.0, 1182.0, -99.0, 316.0000000000009, -1398.0, 2525.0, -1152.0, 4816.0, 1298.0, 4332.0, -2266.0, 0
3088.0, 3923.0, -1892.0, -168.0, -869.0, 4058.0, 155.0, -1148.0, -1638.0, 712.9999999999991, -1769.0, -1435.0, 2257.0, 1987.0, -1666.0, -5.0, 453.0, -3535.0, -1608.0, 263.0, 0
1372.0, 2105.0, -49.00000000000091, 1706.0, 756.0, 1614.0, 316.0, -544.0, 442.0, 18.0, 1337.0, 147.0000000000009, 604.0, -467.0, 372.0, -1088.0, 1545.0, -113.0, -1396.0, 566.0, 1
-1451.0, -1.0000000000009095, -2136.0, 2266.0, -426.0, -3015.0, -4321.0, -1577.0, -3224.9999999999995, 394.0, -2088.0, -1309.0, -824.0, -611.0, -506.0, -519.0, -196.0, -2496.0, -125.0, -2325.0, 0
912.9999999999991, 1612.0, 386.0000000000009, 1552.000000000001, -407.0, -282.0, 287.9999999999991, 1018.0000000000009, 912.0, -519.0, 1678.0, 140.9999999999991, -373.0, 145.0000000000009, 1158.0, -38.0, 911.0, 1899.0, -438.0, 352.0, 1
128.0, 767.0, 190.9999999999991, -1047.0, 388.0000000000009, 1384.0, 88.00000000000091, 215.0, 551.0, 1998.0, -334.0, 148.9999999999991, 2269.0, 377.0, 1597.0, 1156.0, -866.0, -832.0, 954.0, 1511.0, 1
-256.0, 226.0, -2239.0, -975.0, 147.0000000000009, 952.0000000000009, 2092.0, -205.9999999999991, 2165.0, 2819.0, 1219.0, -542.0, 2616.0, 2246.0, 341.0, 82.00000000000091, -2414.0, -2996.0, 1375.0, -1298.0, 0
-983.0, 520.9999999999991, 309.0, 1285.000000000001, 432.0, -742.0, -1456.0, 1935.0, 1148.0, -8.0, 194.9999999999991, 308.0, 26.00000000000091, 1038.0, 1756.0, -196.0, 49.0, 808.0, 674.0, -33.0, 1
142.0000000000009, -426.0, 4546.0, -3258.0, 1174.0, 1784.0, 35.0, 316.0, -4092.0, -884.0, -132.0000000000009, 1968.0, -2092.0, 134.0, -1173.0, 1215.0, 1249.0, 722.0, 31.00000000000091, -1188.0, 0
-188.0, 982.9999999999991, 393.0000000000009, 1561.999999999999, -2693.0, -1204.0, 2091.0, 1010.9999999999991, -407.0, -2977.0, -607.0, -3580.9999999999995, 1095.000000000001, 1192.0, 284.0, 2919.0, -1307.0, 1028.0, 1631.0, -2309.0, 0
-1854.0, 1225.0, -2469.0, -351.0, 1193.0, -3922.0, -2314.0, 3565.0, 2946.0, 1463.0, -1851.0, 2214.0, -1199.0, -1152.0, -1815.0, 1051.0, -2244.0, 2871.0, -3462.0, 1619.0, 0
1029.0, 1916.0, -1371.0, 276.0, 2415.0, 1904.0, 1212.0, -62.0, -235.0, 2959.0, -2304.0, -4798.0, -1341.0, -1028.0, -557.0, -2158.0, 1686.0, 228.0, -2116.0, -38.0, 0
-454.0, 1687.0, -1094.0, 739.0, 563.0, 375.0000000000009, 2217.0, -107.0, 1147.0, -2209.0, -61.00000000000091, 1834.0, 17.0, 593.0000000000009, -22.0, 66.00000000000091, 2539.0, 1116.0, 2484.0, 457.0, 1
-152.9999999999991, -277.0, 494.0, 189.0, 19.0, -614.0, 413.0, 942.0, -95.0, 483.0, 1811.0, 2089.0, -1291.0, 54.0, 1863.0, -22.0, 214.0, 2146.0, 177.0, -7.0, 1
1564.0, 812.0, -391.0, 2423.0, 1543.0, 2993.0, 68.0, 397.9999999999991, -615.0, 1823.0, -706.0, 326.0, 64.0, -757.0, -58.0, 83.99999999999909, 668.9999999999991, 123.0, 755.0, 1699.0, 1
775.0, 202.0, 1698.0, 1160.999999999999, 49.0, -545.0, -388.9999999999991, 1541.0, 1671.0, 241.0, 956.0, 1752.0, 1149.0, 1294.0, 425.0, -868.0, 651.0000000000009, 977.0, 527.9999999999991, 1098.000000000001, 1
922.9999999999991, 721.0, 1056.0, -235.0, -18.0, 1477.0, 605.0, -785.0, 631.0000000000009, -1199.0, -1159.0, 1822.0, 647.0, -284.0, 69.00000000000091, 2041.0, -12.0, -762.0, 1394.0, 1019.0, 1
1037.0, 55.00000000000091, -123.0, 94.0, 188.9999999999991, 2148.0, 2033.0, 1115.999999999999, 818.0000000000009, -806.0, 2228.0, -412.0, 93.99999999999909, -926.0, -154.0, 902.0, -564.0, 1649.0, 1478.0, 1453.0, 1
1445.0, 2281.0, 687.0, 421.0, -2448.0, 240.9999999999991, 542.0, -917.0, 852.0, -626.0, 607.0, 398.0000000000009, -262.0, 174.0, -882.0, 1015.0000000000009, -272.0, 1642.0, -1819.0, 466.0000000000009, 1
1267.0, 797.0000000000009, 667.0, 128.0, 36.00000000000091, 1230.999999999999, -1561.0, 1007.9999999999991, 2347.0, -1264.0, 1859.0, 1989.0, -68.00000000000091, 125.99999999999909, 2985.0, -76.0, 673.0, 641.0, 47.99999999999909, 476.0, 1
1433.0, 375.0, 547.0, -362.0, -2528.0, -1725.0, -708.9999999999991, 2166.0, 34.0, 3048.0, -416.0, 2025.0, -1326.0, 834.0, 346.0, -2666.0, 3118.0, 1329.0, 2938.0, 1267.0, 0
552.0, 1279.0, 817.0, 1952.0, -1272.0, -386.0, 4236.0, 1844.0, 2462.0, -702.0, 754.0, 101.99999999999909, 1222.0, -692.0, -23.0, -3421.0, 1933.0, -2895.0, -664.0, -2293.0, 0
2012.0, -41.0, 3131.0, 3239.0, 1077.0, -235.0, 2756.0, -968.0, 54.0, -1753.0, -2691.0, 993.0, 2867.0, 2686.0, -1336.0, -9.0, 580.9999999999991, 2158.0, 952.0, -3066.9999999999995, 0
3047.0, -1288.0, 1075.0, 587.0, -321.0, -5628.0, -197.0, -1818.0, 3326.0, -1988.0, -1354.0, -4279.0, 3069.0, 3062.0, -1923.0, -1776.0, 1023.0000000000009, 619.0, -653.0, 117.0, 0
3826.0, 355.0, -396.0, -1035.0, -1737.0, 3208.0, -712.0000000000009, -1418.0, 3644.0, 2551.0, 1065.0, 273.0000000000009, 3054.0, 449.0, -1066.0, -18.99999999999909, 2038.0, 547.0, 1691.0, -3617.0, 0
-559.0, 1246.0, -2724.0, -4604.0, -1142.0, -13.99999999999909, -1127.0, 2278.0, -29.0, 2347.0, -2032.0, -832.0, 887.9999999999991, 3295.0, -1806.0, -232.0, -1438.0, -68.0, -215.9999999999991, 3437.0, 0
1119.000000000001, 1984.0, 69.00000000000091, 377.0, -372.0, 167.0000000000009, 36.0, 1431.0, 1919.0, -55.0, 1394.0, 70.99999999999909, 748.0, 1343.0, 97.00000000000091, 2485.0, -334.0, 1657.0, 1194.0, 1198.0, 1
157.0, 2487.0, 1306.0, 47.0, 345.0, 87.0, 654.0, 261.0, 423.9999999999991, -2185.0, -278.0000000000009, -302.0, 1964.0, -318.0, -903.0, -412.0, 841.0, 573.0, -976.0, 1874.0, 1
579.0, 488.0, 615.0, 1154.0, 935.0, -83.00000000000091, 607.0, 1246.0, 776.9999999999991, -36.0, 1138.0, -278.0, 1686.0, 2326.0, 279.0, 693.0, -1026.0, 291.0, 1511.0, 1758.0, 1
-2972.0, 435.9999999999991, -4689.0, -108.0, 1768.0, 1322.0, -1545.0, 1028.0, -555.0, 2914.0, 2172.0, 661.0, 752.0, 94.0, -2561.0, -188.0, 231.0, 1964.0, 2746.0, 282.0, 0
-579.0, 2334.0, 2012.0, 319.0, 19.0, -355.0, 922.0, 156.0, 45.0, 24.0, 348.0, 1102.0, 806.9999999999991, 1589.0, 104.99999999999909, -1044.0, 317.0, 1348.0, 1.0, 546.9999999999991, 1
118.99999999999909, -3456.0, 3169.0, 624.0000000000009, 152.0, 1631.0, -1024.0, -52.0, 4645.0, -544.0, -758.0, -843.0, -3826.0, -1244.0, 1424.0, -908.0, 5268.0, 1451.0, 2294.0, -481.0, 0
-629.0, 1305.0, 1945.0, 778.0, 2263.0, -809.0, 1331.0, 924.0, 661.0000000000009, -244.0, 131.0000000000009, 154.0, 626.9999999999991, 122.99999999999909, -1073.0, -821.0, 251.0000000000009, -43.0, 968.0, 585.0000000000009, 1
1204.000000000001, -3983.0, 2471.0, 24.0, 197.0000000000009, 904.0000000000009, 2585.0, -1286.0, 173.0, -9.0, -212.0000000000009, 477.9999999999991, -2131.0, 2218.0, 2852.0, -1844.0, -362.0, 3239.0, 32.0, -4299.0, 0
-1099.0, 1041.0, 631.0, 2958.0, 447.0000000000009, 1265.0, -2572.0, 407.0000000000009, -1574.0, -288.0, -1699.0, 2902.0, -2269.0, 1564.0, 2663.0, 1401.0, 3726.0, 2732.0, -2419.0, -1889.0, 0
766.9999999999991, 712.0000000000009, 1976.0, 1461.999999999999, -305.0000000000009, 1202.0, 1035.0, 237.0000000000009, -535.0, 558.0, 2129.0, 1642.0, 2555.0, -871.0, 1398.0, 81.00000000000091, 146.0000000000009, 1986.0, 1147.0, 1019.0, 1
2162.0, -531.0, -259.0, 1226.999999999999, 3383.0, -361.0, -2169.0, 2815.0, -1369.0, -2217.0, 378.9999999999991, -4051.0, 113.0, 65.00000000000091, 67.0, -3366.0, -159.0, -2043.0, 975.0, 1289.0, 0
1704.0, -884.0, -4616.0, 414.0000000000009, -64.99999999999909, 1862.0, 693.0, -211.0000000000009, -649.0, -2817.0, 334.9999999999991, 4815.0, 1505.0, -172.0, 1664.0, 1688.0, -155.0, -32.0, 1804.0, -407.0, 0
-523.0, 1219.0, -375.0, 632.9999999999991, 914.0, 1659.0, -114.99999999999909, 1082.0, -72.0, 841.0, 172.9999999999991, 372.0, -649.0, 829.0, -705.0, 15.0, 607.0000000000009, 1215.0, -2299.0, 168.0, 1
958.0, -682.0, 1056.0, 864.0, 86.00000000000091, -444.0, -212.0, -353.0, -681.0, 367.0, -2209.0, 988.0, 155.9999999999991, -222.0, 1005.0, 160.9999999999991, 554.0, 3.0, -88.99999999999909, 821.0, 1
388.0, -4.0, 2277.0, -1039.0, 728.0, 1017.0000000000009, -592.9999999999991, -1062.0, -442.0, -1006.0, 2602.0, -1365.0, 52.0, -28.0, 526.0, 639.0, 1997.0, 66.0, 921.0, -73.0, 1
-3.0000000000009095, -162.0, -379.0, -1322.0, 1009.0, 1135.0, 25.0, 1633.0, 2089.0, 60.99999999999909, -15.0, -1276.0, 87.0, -1183.0, 2153.0, 424.9999999999991, 696.0000000000009, 107.0, 284.0, 731.9999999999991, 1
697.0, -79.0, 719.0, 2159.0, -162.0, -1806.0, -1649.0, -511.0, 101.0, 1739.0, -1214.0, -266.0000000000009, 108.99999999999909, 798.0, -2692.0, -277.0, 1041.0, 1203.0, 327.0, 1747.0, 0
-103.0, 1038.0, -73.0, 2961.0, -1543.0, 36.0, 1366.0, 225.0, 142.0, 1142.0, 606.0, 1932.0, 124.99999999999909, -1529.0, -1138.0, -78.0, 1112.0, 1058.0, 916.0, -596.0, 1
202.0, 2742.0, 1029.0, 2252.0, 1778.0, 1351.0, 82.0, -238.0, 1341.0, 163.0000000000009, -30.99999999999909, 305.9999999999991, 725.9999999999991, -1236.0, -716.0, -23.0, 381.0, 1166.0, 1521.0, -424.0, 1
708.0, 896.0, 292.0, 2367.0, 2764.0, 27.00000000000091, -891.0, 1734.0, 1996.0, 399.0000000000009, -154.0000000000009, 742.0000000000009, 1316.0, 1211.0, 103.0, 354.0000000000009, 2052.0, -137.0, -434.9999999999991, -376.0, 1
-981.0, -686.0, 603.0, -96.0, 242.0, -71.0, -1202.0, 1143.0, -1038.0, -2376.0, 4954.0, -486.0, -1088.0, -184.0, 1713.0, -34.99999999999909, -831.0, -1196.0, 2703.0, 1728.0, 0
-2461.0, -1842.0, 973.0, 1965.0, 1001.9999999999991, 2959.0, 1034.0, -473.0, -4895.0, 1186.0, 2315.0, -1217.0, -4462.0, -464.0, 366.0000000000009, -2038.0, 1258.0, -1909.0, -1345.0, -3139.0, 0
164.0, 824.0, -615.0, -79.0, -301.0, 1242.000000000001, -162.0000000000009, -18.0, -43.0, -58.00000000000091, 758.0, 2614.0, -141.0, 5.9999999999990905, -186.0, 94.0, -233.0, 1314.0, 695.0, -809.0, 1
654.9999999999991, 3482.0, 1044.0, 3146.0, 2828.0, -13.99999999999909, -1464.0, -3796.0, 301.9999999999991, 23.0, -49.0, -312.0, -114.0, 1046.0, -382.0, -321.0, -3854.0, -1461.0, 2847.0, 2523.0, 0
-457.0, -22.0, -1986.0, -44.0, 1103.0, 649.0, -368.0, 1322.0, -1469.0, 213.0, -1385.0, 2825.0, -1336.0, -1242.0, -526.0, -448.0, 4334.0, -3182.0, -492.0, 487.9999999999991, 0
-1976.0, -2844.0, 3839.0, 3711.0, 1614.0, 134.0, -1943.0, -139.0, -1158.0, -163.0000000000009, 1645.0, 1762.0, -42.0, -1049.0, 578.9999999999991, 2166.0, -297.0, -3123.0, 2904.0, 252.0, 0
-2797.0, 3725.0, -1624.0, -138.0, -3813.0, 1044.000000000001, -938.0, 1919.0, -1233.0, 1819.0, 1327.0, 172.9999999999991, 882.0000000000009, -362.0, -475.0, 3084.0, -3202.9999999999995, 3288.0, -16.99999999999909, -1695.0, 0
-884.0, 1409.0, -175.0, -153.0, 1199.0, 862.0, 1636.0, 1948.0, -282.0, 7.0, 1549.0, 1761.0, 712.0, 25.00000000000091, 1432.0, 1362.0, -121.0, -991.0, -997.0, -482.0, 1
555.0, 1058.0, 1179.0, 847.0, 158.9999999999991, 1479.0, -492.9999999999991, 1518.0, 1682.0, -338.0, 1431.0, 93.99999999999909, 631.0, -217.0, 858.0, -77.0, 385.0000000000009, 419.0, 1526.0, 736.0, 1
2105.0, 135.0, 511.0, 462.0, 206.0000000000009, -374.0, 1073.0, 77.00000000000091, -1013.0, 913.0, 1891.0, 1965.0, 492.0, -54.0, 598.0000000000009, -525.0, 359.0, 958.0, -1.0, -21.0, 1
1673.0, -1507.0, 1112.0, -805.0, -344.0000000000009, 2121.0, 78.0, -11.0, 572.0, 1694.0, -738.0, 1378.0, 1093.000000000001, -109.0, -1771.0, 132.0, 1701.0, -975.0, 1815.0, -748.0, 1
94.99999999999909, -579.0, 2194.0, -2971.0, -3029.0, -2519.0, -1364.0, -2909.0000000000005, 2282.0, -1062.0, 1502.0, 1044.0, 97.0, -1208.0, 624.9999999999991, -212.0, 154.0, -446.0, 1231.0, -27.0, 0
1672.0, 138.0, -1267.0, 1159.000000000001, 826.0, 107.99999999999909, -1823.0, 1906.0, -2322.0, -1735.0, 1826.0, 1144.0, -849.0, 3006.0, 239.0, 1592.0, 1991.0, -1446.0, -145.0, 32.0, 0
117.0, 218.9999999999991, 584.0, -748.0, 1188.0, -135.0, 1329.0, 923.0, -1153.0, 2168.0, -15.0, -909.0, 1215.0, 327.9999999999991, -1851.0, -673.0, 1821.0, 227.0, 47.99999999999909, 1404.0, 1
893.0, -1347.0, -665.0, -1217.0, -1084.0, 1106.0, -2565.0, 1444.0, 1945.0, -1049.0, 201.0, -932.0, 2859.0, -281.0, 1837.0, 3955.0, 370.9999999999991, -598.9999999999991, 692.0, -106.0, 0
-347.0, 342.0, 3643.0, 437.0, 1364.0, -2429.0, -386.0, 645.0, 1309.0, 1411.0, -575.0, 944.0, 1261.0, 143.9999999999991, 304.0, -172.0, -157.0, 14.0, -313.0, 972.9999999999991, 1
1393.0, 674.0000000000009, -87.0, 33.0, 947.0, 137.0, 1165.0, 645.0, 458.0, 1876.0, -485.0, -5.0, -184.0000000000009, -192.0, 164.0, 1122.0, 267.9999999999991, 1459.0, 1106.0, -102.0, 1
1094.0, 297.0000000000009, -1906.0, -1606.0, -2178.0, 3743.0, -515.0, -375.0, 1442.0, 637.0000000000009, -927.0, -958.0, 979.0, 1589.0, 1665.0, -998.0, 1216.0, 43.0, -2862.0, 605.0, 0
