@relation tae
@attribute Native integer[1,2]
@attribute Instructor integer[1,25]
@attribute Course integer[1,26]
@attribute Semester integer[1,2]
@attribute Size integer[3,66]
@attribute Class {1,2,3, unlabeled}
@inputs Native, Instructor, Course, Semester, Size
@outputs Class
@data
2, 16, 8, 2, 36, 1
2, 13, 1, 2, 31, 1
2, 25, 7, 2, 27, 2
1, 22, 3, 2, 45, 3
1, 13, 3, 1, 17, 3
2, 16, 19, 2, 11, 3
2, 5, 2, 2, 48, 1
2, 22, 3, 2, 28, 1
2, 23, 3, 1, 20, 2
2, 7, 11, 1, 20, 3
2, 18, 5, 2, 19, 1
2, 13, 1, 2, 20, 2
2, 4, 16, 2, 21, 1
2, 1, 15, 2, 31, 3
2, 12, 8, 2, 24, 2
2, 15, 1, 2, 19, 1
2, 4, 16, 2, 21, 1
2, 2, 10, 2, 27, 1
2, 9, 2, 2, 14, 2
2, 12, 7, 2, 34, 1
1, 14, 15, 2, 32, 1
2, 14, 15, 2, 38, 2
2, 22, 3, 2, 46, 2
2, 18, 12, 2, 16, 2
2, 10, 3, 2, 19, 1
2, 19, 4, 2, 10, 1
1, 22, 13, 2, 27, 2
2, 10, 22, 2, 9, unlabeled
2, 6, 17, 2, 42, unlabeled
2, 7, 25, 2, 42, unlabeled
2, 13, 3, 1, 10, unlabeled
2, 23, 3, 1, 20, unlabeled
2, 13, 1, 2, 30, unlabeled
2, 18, 25, 2, 25, unlabeled
2, 8, 3, 2, 27, unlabeled
1, 23, 3, 1, 19, unlabeled
2, 8, 3, 2, 24, unlabeled
1, 5, 2, 2, 33, unlabeled
2, 6, 17, 2, 37, unlabeled
2, 13, 1, 2, 29, unlabeled
2, 10, 3, 2, 19, unlabeled
2, 17, 18, 2, 29, unlabeled
2, 9, 2, 2, 39, unlabeled
2, 10, 22, 2, 9, unlabeled
1, 6, 17, 2, 35, unlabeled
1, 8, 3, 2, 29, unlabeled
2, 10, 3, 2, 12, unlabeled
2, 11, 1, 2, 51, unlabeled
2, 16, 20, 2, 15, unlabeled
2, 9, 5, 2, 19, unlabeled
2, 5, 2, 2, 37, unlabeled
2, 18, 21, 2, 19, unlabeled
2, 15, 1, 2, 66, unlabeled
2, 3, 2, 2, 37, unlabeled
2, 7, 11, 2, 55, unlabeled
2, 13, 3, 1, 11, unlabeled
2, 22, 1, 2, 11, unlabeled
2, 13, 1, 2, 30, unlabeled
2, 8, 7, 2, 23, unlabeled
2, 25, 7, 2, 27, unlabeled
1, 22, 3, 2, 58, unlabeled
2, 3, 2, 2, 26, unlabeled
2, 23, 3, 1, 20, unlabeled
2, 25, 7, 2, 23, unlabeled
2, 1, 15, 1, 22, unlabeled
2, 7, 11, 2, 30, unlabeled
2, 6, 17, 2, 39, unlabeled
2, 9, 24, 2, 20, unlabeled
2, 1, 8, 2, 18, unlabeled
2, 22, 3, 2, 46, unlabeled
2, 14, 15, 2, 38, unlabeled
2, 9, 6, 2, 7, unlabeled
2, 10, 3, 2, 27, unlabeled
2, 13, 3, 1, 10, unlabeled
1, 23, 3, 1, 20, unlabeled
2, 8, 3, 2, 24, unlabeled
2, 20, 15, 2, 18, unlabeled
2, 2, 9, 2, 29, unlabeled
2, 14, 15, 2, 36, unlabeled
2, 23, 3, 2, 10, unlabeled
2, 20, 2, 2, 3, unlabeled
2, 5, 2, 2, 37, unlabeled
2, 15, 13, 2, 37, unlabeled
2, 7, 25, 2, 42, unlabeled
2, 25, 7, 2, 23, unlabeled
2, 7, 11, 2, 13, unlabeled
2, 7, 11, 2, 10, unlabeled
1, 23, 3, 1, 20, unlabeled
2, 23, 3, 2, 24, unlabeled
2, 18, 21, 2, 29, unlabeled
2, 14, 23, 2, 17, unlabeled
2, 6, 17, 2, 43, unlabeled
1, 23, 3, 1, 19, unlabeled
2, 14, 15, 2, 38, unlabeled
2, 10, 3, 2, 27, unlabeled
2, 15, 3, 1, 17, unlabeled
1, 23, 3, 1, 25, unlabeled
2, 1, 15, 1, 22, unlabeled
2, 6, 17, 2, 39, unlabeled
2, 15, 13, 2, 37, unlabeled
1, 23, 3, 2, 49, unlabeled
1, 13, 3, 1, 13, unlabeled
2, 6, 17, 2, 42, unlabeled
1, 13, 3, 1, 13, unlabeled
2, 7, 11, 2, 13, unlabeled
1, 23, 3, 2, 38, unlabeled
2, 11, 1, 2, 51, unlabeled
2, 2, 9, 2, 31, unlabeled
2, 15, 3, 1, 20, unlabeled
2, 22, 3, 2, 28, unlabeled
2, 23, 3, 2, 11, unlabeled
2, 18, 21, 2, 29, unlabeled
1, 18, 7, 2, 48, unlabeled
2, 9, 5, 2, 24, unlabeled
1, 17, 18, 2, 44, unlabeled
2, 20, 2, 2, 45, unlabeled
2, 23, 3, 1, 20, unlabeled
1, 23, 3, 2, 38, unlabeled
2, 24, 26, 2, 21, unlabeled
1, 5, 2, 2, 33, unlabeled
2, 15, 3, 1, 17, unlabeled
2, 14, 22, 2, 17, unlabeled
2, 15, 3, 1, 20, unlabeled
2, 13, 14, 2, 17, unlabeled
2, 18, 5, 2, 19, unlabeled
1, 22, 3, 1, 58, unlabeled
2, 6, 17, 2, 43, unlabeled
2, 20, 2, 2, 14, unlabeled
2, 14, 15, 2, 38, unlabeled
2, 20, 2, 2, 25, unlabeled
2, 9, 5, 2, 19, unlabeled
2, 16, 8, 2, 36, unlabeled
2, 22, 1, 2, 51, unlabeled
1, 22, 3, 2, 15, unlabeled
1, 23, 3, 2, 49, unlabeled
2, 21, 2, 2, 42, unlabeled
