@relation tic-tac-toe
@attribute TopLeft {x, o, b}
@attribute TopMiddle {x, o, b}
@attribute TopRight {x, o, b}
@attribute MiddleLeft {x, o, b}
@attribute MiddleMiddle {o, b, x}
@attribute MiddleRight {o, b, x}
@attribute BottomLeft {x, o, b}
@attribute BottomMiddle {o, x, b}
@attribute BottomRight {o, x, b}
@attribute Class {positive, negative, unlabeled}
@inputs TopLeft, TopMiddle, TopRight, MiddleLeft, MiddleMiddle, MiddleRight, BottomLeft, BottomMiddle, BottomRight
@outputs Class
@data
o, x, o, x, x, x, x, o, o, positive
x, b, b, x, b, x, o, o, o, negative
o, b, x, o, x, x, o, x, o, negative
o, x, o, b, x, x, o, x, b, positive
b, o, x, x, x, b, x, o, o, positive
x, x, o, x, x, o, o, o, x, positive
x, x, x, o, x, b, o, o, b, positive
x, o, x, o, x, b, b, o, x, positive
x, o, o, x, b, o, x, x, b, positive
o, x, x, o, x, b, x, o, b, positive
x, b, o, x, o, x, o, b, b, negative
x, x, b, x, b, b, o, o, o, negative
o, x, x, o, b, b, o, b, x, negative
o, o, x, x, x, x, o, o, x, positive
x, b, b, x, o, x, x, o, o, positive
x, o, o, x, x, x, o, o, x, positive
x, x, x, o, x, o, b, o, b, positive
o, o, o, b, x, x, b, b, x, negative
o, b, b, x, x, x, x, o, o, positive
b, x, o, o, b, o, x, x, x, positive
o, x, o, x, x, o, x, b, o, negative
x, o, x, o, b, x, o, b, x, positive
o, o, x, b, x, b, x, b, b, positive
x, x, x, o, b, o, b, o, x, positive
b, x, x, x, x, o, o, o, o, negative
x, o, b, o, x, o, b, x, x, positive
b, b, x, o, o, o, x, x, b, negative
x, o, o, b, x, b, b, b, x, positive
x, x, o, x, o, b, o, x, o, negative
x, x, o, o, x, x, o, o, x, positive
o, x, b, o, x, b, o, b, x, negative
x, b, b, b, x, x, o, o, o, negative
b, b, b, x, x, x, b, o, o, positive
o, x, b, o, b, b, o, x, x, negative
o, b, x, o, b, b, o, x, x, negative
x, o, o, o, x, o, x, x, x, positive
o, x, x, b, x, o, o, x, b, positive
o, o, b, x, x, x, x, b, o, positive
x, x, o, b, o, o, x, x, o, negative
x, o, b, x, x, o, x, o, b, positive
x, b, x, x, o, o, x, b, o, positive
o, b, x, x, x, x, o, o, b, positive
b, o, o, x, b, o, x, x, x, positive
o, o, x, b, o, x, x, x, o, negative
b, o, x, x, o, x, b, o, b, negative
x, o, x, b, x, x, o, o, o, negative
x, b, o, b, x, b, o, b, x, positive
x, b, o, x, x, o, x, o, b, positive
x, b, o, x, b, o, b, x, o, negative
o, o, x, x, x, o, x, x, o, positive
x, b, o, x, o, b, x, o, x, positive
o, x, x, x, x, o, o, x, o, positive
o, x, b, o, x, b, x, x, o, positive
o, x, b, x, o, o, x, x, o, negative
x, x, o, x, o, b, o, b, b, negative
o, o, o, b, x, x, b, x, b, negative
o, x, x, x, o, o, b, x, o, negative
x, o, x, o, x, o, x, b, b, positive
x, b, x, o, b, x, o, o, x, positive
o, x, o, o, x, x, x, x, o, positive
o, o, b, b, o, x, x, x, x, positive
x, x, b, o, x, o, o, x, b, positive
o, o, o, b, b, x, x, x, b, negative
x, b, o, b, o, x, o, x, b, negative
o, b, b, x, o, x, b, x, o, negative
x, b, x, o, x, x, o, o, o, negative
x, x, x, o, o, b, b, o, x, positive
b, x, o, b, x, o, o, x, x, positive
o, x, x, o, o, x, x, b, o, negative
b, x, o, o, x, o, x, x, b, positive
x, b, o, x, x, o, b, b, o, negative
o, b, o, x, x, x, o, x, b, positive
o, x, x, b, b, x, o, o, x, positive
x, x, x, b, b, b, b, o, o, positive
b, o, o, o, x, b, x, x, x, positive
x, x, x, x, b, o, o, b, o, positive
o, x, x, o, o, x, b, x, o, negative
o, b, x, b, o, x, x, o, x, positive
o, o, o, x, x, o, x, x, b, negative
x, x, x, b, b, o, b, b, o, positive
b, b, x, o, o, x, x, o, x, positive
x, x, o, x, b, o, o, x, o, negative
x, o, o, b, o, b, x, x, x, positive
o, o, o, x, b, b, x, b, x, negative
o, o, o, b, x, x, x, b, b, negative
b, x, o, o, x, b, b, x, b, positive
b, o, b, x, o, x, b, o, x, negative
x, x, x, o, o, b, x, o, b, positive
x, o, b, o, o, x, x, o, x, negative
b, b, x, o, b, x, b, o, x, positive
x, x, o, o, x, b, o, x, b, positive
o, x, b, b, o, x, x, b, o, negative
x, b, x, b, x, b, o, o, o, negative
x, x, x, b, b, o, o, b, b, positive
x, o, o, b, o, x, o, x, x, negative
b, b, x, b, x, o, x, o, b, positive
b, x, o, o, x, o, b, x, x, positive
x, o, b, x, x, b, x, o, o, positive
x, b, o, x, b, b, x, b, o, positive
o, o, x, o, x, b, o, x, x, negative
o, o, o, x, b, x, o, x, x, negative
b, o, o, x, o, b, x, x, x, positive
b, o, o, x, x, o, x, x, o, negative
o, b, o, x, x, x, b, x, o, positive
b, b, x, x, o, x, o, o, x, positive
b, x, b, o, x, b, b, x, o, positive
x, x, b, o, x, b, o, o, x, positive
b, o, x, o, o, x, x, b, x, positive
x, b, o, x, o, b, x, b, b, positive
x, o, o, x, x, b, x, b, o, positive
b, o, b, o, o, x, x, x, x, positive
b, x, b, o, x, x, o, x, o, positive
x, o, b, b, x, x, o, o, x, positive
b, o, x, b, b, x, b, o, x, positive
x, b, b, x, b, b, x, o, o, positive
x, x, o, o, o, o, b, x, x, negative
